data,eta,prima_dose,seconda_dose,terza_dose,pregressa_infezione,mono_dose
2021-01-02,80-89,809.0,3.0,0,3,0.0
2021-01-02,90+,757.0,3.0,0,3,0.0
2021-01-03,12-19,2.0,1.0,0,1,0.0
2021-01-03,20-29,3563.0,3.0,0,3,0.0
2021-01-03,30-39,6276.0,8.0,0,8,0.0
2021-01-03,40-49,7936.0,11.0,0,11,0.0
2021-01-03,50-59,10277.0,12.0,0,12,0.0
2021-01-03,60-69,6099.0,8.0,0,8,0.0
2021-01-03,70-79,541.0,1.0,0,1,0.0
2021-01-03,80-89,598.0,0.0,0,0,0.0
2021-01-03,90+,532.0,2.0,0,2,0.0
2021-01-04,12-19,12.0,0.0,0,0,0.0
2021-01-04,20-29,6075.0,15.0,0,13,2.0
2021-01-04,30-39,12303.0,19.0,0,14,5.0
2021-01-04,40-49,14786.0,22.0,0,20,2.0
2021-01-04,50-59,20213.0,30.0,0,30,0.0
2021-01-04,60-69,12117.0,15.0,0,15,0.0
2021-01-04,70-79,1151.0,3.0,0,3,0.0
2021-01-04,80-89,1489.0,12.0,0,12,0.0
2021-01-04,90+,1370.0,7.0,0,7,0.0
2021-01-05,12-19,22.0,0.0,0,0,0.0
2021-01-05,20-29,6880.0,8.0,0,8,0.0
2021-01-05,30-39,13801.0,26.0,0,26,0.0
2021-01-05,40-49,16767.0,22.0,0,20,2.0
2021-01-05,50-59,23181.0,41.0,0,41,0.0
2021-01-05,60-69,14234.0,18.0,0,18,0.0
2021-01-05,70-79,1593.0,10.0,0,10,0.0
2021-01-05,80-89,1898.0,20.0,0,20,0.0
2021-01-05,90+,1865.0,15.0,0,15,0.0
2021-01-06,12-19,39.0,1.0,0,1,0.0
2021-01-06,20-29,6614.0,6.0,0,5,1.0
2021-01-06,30-39,11289.0,16.0,0,15,1.0
2021-01-06,40-49,12843.0,17.0,0,17,0.0
2021-01-06,50-59,17831.0,30.0,0,30,0.0
2021-01-06,60-69,11876.0,14.0,0,14,0.0
2021-01-06,70-79,1675.0,7.0,0,7,0.0
2021-01-06,80-89,1489.0,17.0,0,17,0.0
2021-01-06,90+,1386.0,27.0,0,27,0.0
2021-01-07,12-19,33.0,0.0,0,0,0.0
2021-01-07,20-29,7733.0,14.0,0,13,1.0
2021-01-07,30-39,15139.0,23.0,0,22,1.0
2021-01-07,40-49,19028.0,38.0,0,38,0.0
2021-01-07,50-59,26483.0,37.0,0,37,0.0
2021-01-07,60-69,15655.0,21.0,0,21,0.0
2021-01-07,70-79,2351.0,9.0,0,9,0.0
2021-01-07,80-89,3197.0,28.0,0,28,0.0
2021-01-07,90+,2881.0,28.0,0,28,0.0
2021-01-08,12-19,47.0,0.0,0,0,0.0
2021-01-08,20-29,9179.0,18.0,0,18,0.0
2021-01-08,30-39,15670.0,30.0,0,30,0.0
2021-01-08,40-49,19840.0,52.0,0,52,0.0
2021-01-08,50-59,27228.0,47.0,0,47,0.0
2021-01-08,60-69,16269.0,27.0,0,27,0.0
2021-01-08,70-79,2704.0,12.0,0,12,0.0
2021-01-08,80-89,3150.0,24.0,0,24,0.0
2021-01-08,90+,2750.0,35.0,0,35,0.0
2021-01-09,12-19,81.0,2.0,0,2,0.0
2021-01-09,20-29,9023.0,13.0,0,13,0.0
2021-01-09,30-39,13724.0,22.0,0,22,0.0
2021-01-09,40-49,16662.0,34.0,0,34,0.0
2021-01-09,50-59,22826.0,40.0,0,40,0.0
2021-01-09,60-69,17289.0,20.0,0,20,0.0
2021-01-09,70-79,3131.0,11.0,0,11,0.0
2021-01-09,80-89,3014.0,23.0,0,23,0.0
2021-01-09,90+,2517.0,7.0,0,7,0.0
2021-01-10,12-19,146.0,1.0,0,1,0.0
2021-01-10,20-29,7558.0,13.0,0,13,0.0
2021-01-10,30-39,10002.0,14.0,0,14,0.0
2021-01-10,40-49,11597.0,20.0,0,20,0.0
2021-01-10,50-59,15365.0,34.0,0,34,0.0
2021-01-10,60-69,10787.0,11.0,0,11,0.0
2021-01-10,70-79,2253.0,2.0,0,2,0.0
2021-01-10,80-89,1777.0,11.0,0,11,0.0
2021-01-10,90+,1410.0,4.0,0,4,0.0
2021-01-11,12-19,85.0,1.0,0,0,1.0
2021-01-11,20-29,8435.0,12.0,0,12,0.0
2021-01-11,30-39,12251.0,25.0,0,25,0.0
2021-01-11,40-49,15816.0,34.0,0,32,2.0
2021-01-11,50-59,22265.0,50.0,0,50,0.0
2021-01-11,60-69,13202.0,35.0,0,35,0.0
2021-01-11,70-79,3100.0,5.0,0,5,0.0
2021-01-11,80-89,3846.0,15.0,0,15,0.0
2021-01-11,90+,2973.0,22.0,0,22,0.0
2021-01-12,12-19,69.0,0.0,0,0,0.0
2021-01-12,20-29,8800.0,13.0,0,13,0.0
2021-01-12,30-39,12100.0,23.0,0,23,0.0
2021-01-12,40-49,15706.0,38.0,0,38,0.0
2021-01-12,50-59,21544.0,40.0,0,40,0.0
2021-01-12,60-69,13212.0,32.0,0,32,0.0
2021-01-12,70-79,3717.0,16.0,0,16,0.0
2021-01-12,80-89,4415.0,21.0,0,21,0.0
2021-01-12,90+,3803.0,25.0,0,25,0.0
2021-01-13,12-19,148.0,0.0,0,0,0.0
2021-01-13,20-29,10335.0,25.0,0,25,0.0
2021-01-13,30-39,13862.0,42.0,0,42,0.0
2021-01-13,40-49,17724.0,46.0,0,46,0.0
2021-01-13,50-59,23876.0,74.0,0,74,0.0
2021-01-13,60-69,14039.0,34.0,0,34,0.0
2021-01-13,70-79,4215.0,18.0,0,18,0.0
2021-01-13,80-89,5874.0,45.0,0,45,0.0
2021-01-13,90+,5223.0,28.0,0,28,0.0
2021-01-14,12-19,137.0,0.0,0,0,0.0
2021-01-14,20-29,10448.0,28.0,0,28,0.0
2021-01-14,30-39,13332.0,67.0,0,67,0.0
2021-01-14,40-49,17071.0,59.0,0,59,0.0
2021-01-14,50-59,22683.0,66.0,0,66,0.0
2021-01-14,60-69,13214.0,44.0,0,44,0.0
2021-01-14,70-79,4441.0,27.0,0,27,0.0
2021-01-14,80-89,6927.0,62.0,0,62,0.0
2021-01-14,90+,5893.0,60.0,0,60,0.0
2021-01-15,12-19,102.0,0.0,0,0,0.0
2021-01-15,20-29,10217.0,14.0,0,14,0.0
2021-01-15,30-39,12752.0,30.0,0,30,0.0
2021-01-15,40-49,16422.0,33.0,0,33,0.0
2021-01-15,50-59,21729.0,62.0,0,62,0.0
2021-01-15,60-69,12515.0,33.0,0,33,0.0
2021-01-15,70-79,4278.0,9.0,0,9,0.0
2021-01-15,80-89,7367.0,38.0,0,38,0.0
2021-01-15,90+,5439.0,31.0,0,31,0.0
2021-01-16,12-19,148.0,0.0,0,0,0.0
2021-01-16,20-29,7990.0,10.0,0,10,0.0
2021-01-16,30-39,8962.0,12.0,0,12,0.0
2021-01-16,40-49,11260.0,30.0,0,30,0.0
2021-01-16,50-59,14514.0,26.0,0,26,0.0
2021-01-16,60-69,10079.0,30.0,0,30,0.0
2021-01-16,70-79,3735.0,12.0,0,12,0.0
2021-01-16,80-89,5842.0,31.0,0,31,0.0
2021-01-16,90+,3508.0,14.0,0,14,0.0
2021-01-17,12-19,88.0,0.0,0,0,0.0
2021-01-17,20-29,4822.0,276.0,0,10,0.0
2021-01-17,30-39,4309.0,577.0,0,8,0.0
2021-01-17,40-49,5498.0,586.0,0,7,0.0
2021-01-17,50-59,7110.0,895.0,0,11,0.0
2021-01-17,60-69,4918.0,654.0,0,13,0.0
2021-01-17,70-79,1907.0,28.0,0,0,0.0
2021-01-17,80-89,4120.0,21.0,0,8,0.0
2021-01-17,90+,1838.0,12.0,0,3,0.0
2021-01-18,12-19,63.0,0.0,0,0,0.0
2021-01-18,20-29,3782.0,408.0,0,3,0.0
2021-01-18,30-39,5186.0,783.0,0,7,0.0
2021-01-18,40-49,6669.0,1067.0,0,11,0.0
2021-01-18,50-59,8580.0,1504.0,0,12,0.0
2021-01-18,60-69,4963.0,1142.0,0,8,0.0
2021-01-18,70-79,2250.0,111.0,0,6,0.0
2021-01-18,80-89,4664.0,93.0,0,15,0.0
2021-01-18,90+,3405.0,78.0,0,26,0.0
2021-01-19,12-19,40.0,0.0,0,0,0.0
2021-01-19,20-29,3077.0,122.0,0,2,0.0
2021-01-19,30-39,4061.0,315.0,0,2,0.0
2021-01-19,40-49,5048.0,360.0,0,12,0.0
2021-01-19,50-59,6323.0,576.0,0,9,0.0
2021-01-19,60-69,3961.0,433.0,0,8,0.0
2021-01-19,70-79,2066.0,19.0,0,12,0.0
2021-01-19,80-89,4101.0,29.0,0,22,0.0
2021-01-19,90+,3045.0,18.0,0,15,0.0
2021-01-20,12-19,32.0,2.0,0,0,0.0
2021-01-20,20-29,2260.0,340.0,0,6,0.0
2021-01-20,30-39,3269.0,858.0,0,3,0.0
2021-01-20,40-49,4451.0,1121.0,0,5,0.0
2021-01-20,50-59,5516.0,1267.0,0,10,0.0
2021-01-20,60-69,3263.0,729.0,0,3,0.0
2021-01-20,70-79,1843.0,98.0,0,1,0.0
2021-01-20,80-89,3540.0,126.0,0,7,0.0
2021-01-20,90+,2694.0,119.0,0,8,0.0
2021-01-21,12-19,33.0,5.0,0,0,0.0
2021-01-21,20-29,1333.0,1586.0,0,2,0.0
2021-01-21,30-39,2059.0,3464.0,0,9,0.0
2021-01-21,40-49,2611.0,4524.0,0,5,0.0
2021-01-21,50-59,3175.0,5855.0,0,11,0.0
2021-01-21,60-69,2008.0,3296.0,0,3,0.0
2021-01-21,70-79,1142.0,331.0,0,1,0.0
2021-01-21,80-89,2331.0,522.0,0,6,0.0
2021-01-21,90+,1864.0,432.0,0,7,0.0
2021-01-22,12-19,34.0,3.0,0,0,0.0
2021-01-22,20-29,1212.0,1118.0,0,0,0.0
2021-01-22,30-39,1718.0,2304.0,0,5,0.0
2021-01-22,40-49,2218.0,2938.0,0,8,0.0
2021-01-22,50-59,2545.0,3923.0,0,4,0.0
2021-01-22,60-69,1535.0,2223.0,0,2,0.0
2021-01-22,70-79,871.0,369.0,0,5,0.0
2021-01-22,80-89,1715.0,675.0,0,4,0.0
2021-01-22,90+,1372.0,643.0,0,4,0.0
2021-01-23,12-19,28.0,16.0,0,0,0.0
2021-01-23,20-29,446.0,3003.0,0,0,0.0
2021-01-23,30-39,727.0,5953.0,0,1,0.0
2021-01-23,40-49,875.0,7296.0,0,3,0.0
2021-01-23,50-59,1244.0,9351.0,0,5,0.0
2021-01-23,60-69,971.0,5862.0,0,0,0.0
2021-01-23,70-79,453.0,534.0,0,1,0.0
2021-01-23,80-89,722.0,707.0,0,1,0.0
2021-01-23,90+,552.0,647.0,0,2,0.0
2021-01-24,12-19,10.0,3.0,0,0,0.0
2021-01-24,20-29,335.0,2945.0,0,1,0.0
2021-01-24,30-39,423.0,5451.0,0,0,0.0
2021-01-24,40-49,481.0,6745.0,0,3,0.0
2021-01-24,50-59,681.0,8908.0,0,2,0.0
2021-01-24,60-69,401.0,5478.0,0,1,0.0
2021-01-24,70-79,265.0,465.0,0,1,0.0
2021-01-24,80-89,414.0,445.0,0,1,0.0
2021-01-24,90+,230.0,354.0,0,0,0.0
2021-01-25,12-19,4.0,11.0,0,0,0.0
2021-01-25,20-29,389.0,5825.0,0,3,0.0
2021-01-25,30-39,614.0,11501.0,0,1,0.0
2021-01-25,40-49,758.0,14011.0,0,1,0.0
2021-01-25,50-59,898.0,18906.0,0,3,0.0
2021-01-25,60-69,563.0,11142.0,0,1,0.0
2021-01-25,70-79,374.0,1001.0,0,0,0.0
2021-01-25,80-89,739.0,1247.0,0,1,0.0
2021-01-25,90+,586.0,1143.0,0,5,0.0
2021-01-26,12-19,10.0,13.0,0,0,0.0
2021-01-26,20-29,303.0,6389.0,0,0,0.0
2021-01-26,30-39,488.0,13308.0,0,2,0.0
2021-01-26,40-49,675.0,16064.0,0,5,0.0
2021-01-26,50-59,727.0,22274.0,0,1,0.0
2021-01-26,60-69,578.0,13753.0,0,0,0.0
2021-01-26,70-79,369.0,1451.0,0,0,0.0
2021-01-26,80-89,730.0,1766.0,0,0,0.0
2021-01-26,90+,510.0,1692.0,0,2,0.0
2021-01-27,12-19,18.0,40.0,0,0,0.0
2021-01-27,20-29,735.0,6698.0,0,0,0.0
2021-01-27,30-39,819.0,11190.0,0,2,0.0
2021-01-27,40-49,947.0,12932.0,0,1,0.0
2021-01-27,50-59,1241.0,17855.0,0,5,0.0
2021-01-27,60-69,783.0,11859.0,0,1,0.0
2021-01-27,70-79,423.0,1533.0,0,1,0.0
2021-01-27,80-89,783.0,1463.0,0,1,0.0
2021-01-27,90+,648.0,1313.0,0,2,0.0
2021-01-28,12-19,7.0,36.0,0,0,0.0
2021-01-28,20-29,411.0,7571.0,0,3,0.0
2021-01-28,30-39,538.0,14847.0,0,0,0.0
2021-01-28,40-49,801.0,18596.0,0,4,0.0
2021-01-28,50-59,1014.0,26093.0,0,0,0.0
2021-01-28,60-69,628.0,15352.0,0,2,0.0
2021-01-28,70-79,329.0,2101.0,0,0,0.0
2021-01-28,80-89,697.0,2505.0,0,4,0.0
2021-01-28,90+,539.0,2299.0,0,14,0.0
2021-01-29,12-19,16.0,46.0,0,0,0.0
2021-01-29,20-29,464.0,9079.0,0,0,0.0
2021-01-29,30-39,620.0,15238.0,0,2,0.0
2021-01-29,40-49,875.0,19431.0,0,5,0.0
2021-01-29,50-59,1032.0,26651.0,0,1,0.0
2021-01-29,60-69,609.0,16044.0,0,3,0.0
2021-01-29,70-79,319.0,2501.0,0,1,0.0
2021-01-29,80-89,690.0,2811.0,0,5,0.0
2021-01-29,90+,484.0,2380.0,0,2,0.0
2021-01-30,12-19,41.0,62.0,0,0,0.0
2021-01-30,20-29,384.0,8813.0,0,7,0.0
2021-01-30,30-39,484.0,13791.0,0,4,0.0
2021-01-30,40-49,656.0,16748.0,0,4,0.0
2021-01-30,50-59,947.0,22815.0,0,1,0.0
2021-01-30,60-69,702.0,17118.0,0,1,0.0
2021-01-30,70-79,240.0,2905.0,0,0,0.0
2021-01-30,80-89,497.0,2526.0,0,2,0.0
2021-01-30,90+,309.0,2024.0,0,0,0.0
2021-01-31,12-19,23.0,131.0,0,0,0.0
2021-01-31,20-29,254.0,6990.0,0,1,0.0
2021-01-31,30-39,366.0,9624.0,0,0,0.0
2021-01-31,40-49,515.0,11234.0,0,1,0.0
2021-01-31,50-59,738.0,14805.0,0,2,0.0
2021-01-31,60-69,335.0,10357.0,0,0,0.0
2021-01-31,70-79,105.0,2013.0,0,0,0.0
2021-01-31,80-89,239.0,1277.0,0,0,0.0
2021-01-31,90+,116.0,952.0,0,0,0.0
2021-02-01,12-19,5.0,95.0,0,0,0.0
2021-02-01,20-29,399.0,8766.0,0,2,0.0
2021-02-01,30-39,576.0,12462.0,0,1,0.0
2021-02-01,40-49,729.0,15844.0,0,1,0.0
2021-02-01,50-59,972.0,22098.0,0,2,0.0
2021-02-01,60-69,635.0,13108.0,0,1,0.0
2021-02-01,70-79,310.0,2990.0,0,0,0.0
2021-02-01,80-89,404.0,3672.0,0,4,0.0
2021-02-01,90+,311.0,2909.0,0,3,0.0
2021-02-02,12-19,16.0,65.0,0,0,0.0
2021-02-02,20-29,755.0,8670.0,0,1,0.0
2021-02-02,30-39,892.0,11923.0,0,2,0.0
2021-02-02,40-49,1131.0,15449.0,0,3,0.0
2021-02-02,50-59,1282.0,21516.0,0,8,1.0
2021-02-02,60-69,788.0,13041.0,0,2,0.0
2021-02-02,70-79,345.0,3668.0,0,0,0.0
2021-02-02,80-89,766.0,4235.0,0,6,0.0
2021-02-02,90+,537.0,3652.0,0,6,0.0
2021-02-03,12-19,21.0,125.0,0,2,0.0
2021-02-03,20-29,960.0,10216.0,0,3,0.0
2021-02-03,30-39,1232.0,13458.0,0,4,0.0
2021-02-03,40-49,1593.0,17202.0,0,5,0.0
2021-02-03,50-59,1852.0,22931.0,0,10,0.0
2021-02-03,60-69,1088.0,13673.0,0,4,0.0
2021-02-03,70-79,553.0,3918.0,0,4,0.0
2021-02-03,80-89,1106.0,5185.0,0,3,0.0
2021-02-03,90+,672.0,4679.0,0,3,0.0
2021-02-04,12-19,23.0,142.0,0,0,0.0
2021-02-04,20-29,1508.0,10559.0,0,3,1.0
2021-02-04,30-39,1985.0,13598.0,0,5,2.0
2021-02-04,40-49,2345.0,17696.0,0,3,1.0
2021-02-04,50-59,2798.0,23503.0,0,9,0.0
2021-02-04,60-69,1842.0,13691.0,0,5,0.0
2021-02-04,70-79,713.0,4452.0,0,2,0.0
2021-02-04,80-89,1399.0,6468.0,0,5,0.0
2021-02-04,90+,969.0,5338.0,0,1,0.0
2021-02-05,12-19,35.0,102.0,0,0,0.0
2021-02-05,20-29,2070.0,10349.0,0,3,0.0
2021-02-05,30-39,2676.0,13095.0,0,14,0.0
2021-02-05,40-49,3186.0,16502.0,0,10,0.0
2021-02-05,50-59,3691.0,21859.0,0,20,0.0
2021-02-05,60-69,2379.0,12581.0,0,9,0.0
2021-02-05,70-79,983.0,4140.0,0,3,0.0
2021-02-05,80-89,1666.0,6906.0,0,11,0.0
2021-02-05,90+,1243.0,4817.0,0,9,0.0
2021-02-06,12-19,51.0,145.0,0,0,0.0
2021-02-06,20-29,1960.0,7655.0,0,8,0.0
2021-02-06,30-39,2240.0,8740.0,0,18,1.0
2021-02-06,40-49,2517.0,10998.0,0,13,0.0
2021-02-06,50-59,2959.0,14268.0,0,9,0.0
2021-02-06,60-69,2190.0,9910.0,0,13,0.0
2021-02-06,70-79,885.0,3462.0,0,7,0.0
2021-02-06,80-89,1162.0,5460.0,0,8,0.0
2021-02-06,90+,681.0,3178.0,0,3,0.0
2021-02-07,12-19,32.0,86.0,0,0,0.0
2021-02-07,20-29,1511.0,4445.0,0,7,0.0
2021-02-07,30-39,1357.0,4344.0,0,11,0.0
2021-02-07,40-49,1681.0,5531.0,0,10,0.0
2021-02-07,50-59,2012.0,7023.0,0,9,0.0
2021-02-07,60-69,1413.0,4858.0,0,5,0.0
2021-02-07,70-79,542.0,1702.0,0,0,0.0
2021-02-07,80-89,762.0,3584.0,0,7,0.0
2021-02-07,90+,215.0,1378.0,0,1,0.0
2021-02-08,12-19,31.0,58.0,0,0,0.0
2021-02-08,20-29,2905.0,4165.0,0,8,2.0
2021-02-08,30-39,3199.0,5492.0,0,13,0.0
2021-02-08,40-49,3835.0,7030.0,0,24,0.0
2021-02-08,50-59,4985.0,9212.0,0,32,0.0
2021-02-08,60-69,3205.0,5538.0,0,16,0.0
2021-02-08,70-79,1132.0,2270.0,0,6,0.0
2021-02-08,80-89,5861.0,3691.0,0,17,0.0
2021-02-08,90+,1675.0,3029.0,0,9,0.0
2021-02-09,12-19,44.0,39.0,0,0,0.0
2021-02-09,20-29,3840.0,3277.0,0,17,0.0
2021-02-09,30-39,4229.0,4351.0,0,24,0.0
2021-02-09,40-49,5141.0,5414.0,0,30,0.0
2021-02-09,50-59,6440.0,6847.0,0,39,0.0
2021-02-09,60-69,4185.0,4144.0,0,19,0.0
2021-02-09,70-79,1640.0,2000.0,0,6,0.0
2021-02-09,80-89,6701.0,3754.0,0,7,0.0
2021-02-09,90+,2229.0,3012.0,0,6,0.0
2021-02-10,12-19,78.0,34.0,0,1,0.0
2021-02-10,20-29,5903.0,2494.0,0,18,0.0
2021-02-10,30-39,5849.0,3487.0,0,35,0.0
2021-02-10,40-49,6592.0,4647.0,0,37,0.0
2021-02-10,50-59,8145.0,5909.0,0,51,0.0
2021-02-10,60-69,5710.0,3302.0,0,23,0.0
2021-02-10,70-79,2544.0,1702.0,0,3,0.0
2021-02-10,80-89,7736.0,4051.0,0,19,0.0
2021-02-10,90+,2476.0,2759.0,0,16,0.0
2021-02-11,12-19,81.0,23.0,0,0,0.0
2021-02-11,20-29,7073.0,1602.0,0,87,0.0
2021-02-11,30-39,7468.0,2415.0,0,79,0.0
2021-02-11,40-49,8827.0,3218.0,0,80,0.0
2021-02-11,50-59,10207.0,3994.0,0,95,0.0
2021-02-11,60-69,6408.0,2291.0,0,39,0.0
2021-02-11,70-79,2718.0,1262.0,0,10,0.0
2021-02-11,80-89,9168.0,3115.0,0,32,0.0
2021-02-11,90+,3075.0,2434.0,0,26,0.0
2021-02-12,12-19,96.0,19.0,0,1,0.0
2021-02-12,20-29,7595.0,1380.0,0,139,0.0
2021-02-12,30-39,8618.0,1954.0,0,97,0.0
2021-02-12,40-49,10297.0,2622.0,0,117,0.0
2021-02-12,50-59,10423.0,3172.0,0,124,0.0
2021-02-12,60-69,6386.0,1743.0,0,62,0.0
2021-02-12,70-79,2758.0,1068.0,0,12,0.0
2021-02-12,80-89,9587.0,2261.0,0,63,0.0
2021-02-12,90+,2683.0,1959.0,0,50,0.0
2021-02-13,12-19,100.0,29.0,0,0,0.0
2021-02-13,20-29,5235.0,529.0,0,86,0.0
2021-02-13,30-39,6874.0,884.0,0,86,0.0
2021-02-13,40-49,8014.0,1156.0,0,98,0.0
2021-02-13,50-59,7923.0,1540.0,0,81,0.0
2021-02-13,60-69,4984.0,1178.0,0,32,0.0
2021-02-13,70-79,2213.0,460.0,0,10,0.0
2021-02-13,80-89,8356.0,763.0,0,30,0.0
2021-02-13,90+,2047.0,679.0,0,16,0.0
2021-02-14,12-19,39.0,9.0,0,0,0.0
2021-02-14,20-29,2649.0,327.0,0,30,0.0
2021-02-14,30-39,4427.0,375.0,0,64,0.0
2021-02-14,40-49,5091.0,416.0,0,47,0.0
2021-02-14,50-59,4267.0,661.0,0,48,0.0
2021-02-14,60-69,2504.0,365.0,0,16,0.0
2021-02-14,70-79,1150.0,261.0,0,8,0.0
2021-02-14,80-89,6035.0,275.0,0,25,0.0
2021-02-14,90+,1010.0,167.0,0,14,0.0
2021-02-15,12-19,91.0,14.0,0,1,0.0
2021-02-15,20-29,5687.0,703.0,0,117,0.0
2021-02-15,30-39,7009.0,906.0,0,126,0.0
2021-02-15,40-49,8504.0,1110.0,0,175,0.0
2021-02-15,50-59,8876.0,1386.0,0,163,0.0
2021-02-15,60-69,4960.0,830.0,0,59,0.0
2021-02-15,70-79,2485.0,504.0,0,25,0.0
2021-02-15,80-89,16040.0,793.0,0,72,0.0
2021-02-15,90+,2705.0,626.0,0,30,0.0
2021-02-16,12-19,60.0,15.0,0,1,0.0
2021-02-16,20-29,4999.0,589.0,0,80,0.0
2021-02-16,30-39,7441.0,947.0,0,148,0.0
2021-02-16,40-49,9973.0,1180.0,0,183,0.0
2021-02-16,50-59,9244.0,1350.0,0,160,0.0
2021-02-16,60-69,4989.0,891.0,0,55,0.0
2021-02-16,70-79,2194.0,524.0,0,18,0.0
2021-02-16,80-89,21486.0,827.0,0,89,0.0
2021-02-16,90+,4257.0,653.0,0,28,0.0
2021-02-17,12-19,56.0,18.0,0,0,0.0
2021-02-17,20-29,5611.0,1005.0,0,114,0.0
2021-02-17,30-39,7910.0,1348.0,0,150,0.0
2021-02-17,40-49,10092.0,1703.0,0,215,0.0
2021-02-17,50-59,9971.0,2143.0,0,168,0.0
2021-02-17,60-69,4596.0,1456.0,0,54,0.0
2021-02-17,70-79,2326.0,763.0,0,24,0.0
2021-02-17,80-89,24305.0,1135.0,0,117,0.0
2021-02-17,90+,5426.0,939.0,0,47,0.0
2021-02-18,12-19,75.0,15.0,0,0,0.0
2021-02-18,20-29,7080.0,820.0,0,140,0.0
2021-02-18,30-39,8809.0,1163.0,0,201,0.0
2021-02-18,40-49,12029.0,1558.0,0,261,0.0
2021-02-18,50-59,12063.0,1808.0,0,243,0.0
2021-02-18,60-69,5043.0,1119.0,0,75,0.0
2021-02-18,70-79,2443.0,603.0,0,12,0.0
2021-02-18,80-89,26199.0,1253.0,0,100,0.0
2021-02-18,90+,7818.0,992.0,0,43,0.0
2021-02-19,12-19,99.0,23.0,0,1,0.0
2021-02-19,20-29,7273.0,908.0,0,138,0.0
2021-02-19,30-39,8947.0,1146.0,0,240,0.0
2021-02-19,40-49,13527.0,1531.0,0,334,0.0
2021-02-19,50-59,13572.0,1672.0,0,321,0.0
2021-02-19,60-69,5065.0,896.0,0,60,0.0
2021-02-19,70-79,2292.0,488.0,0,34,0.0
2021-02-19,80-89,27497.0,965.0,0,154,0.0
2021-02-19,90+,7318.0,613.0,0,65,0.0
2021-02-20,12-19,59.0,41.0,0,0,0.0
2021-02-20,20-29,5115.0,493.0,0,94,0.0
2021-02-20,30-39,7351.0,682.0,0,168,0.0
